Kota dan Kabupaten,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kep. Seribu,7.99,8.03,8.04,8.24,8.25,8.46,8.47,8.68,8.81,9.02,9.03
Kota Jakarta Selatan,10.95,10.97,11.23,11.42,11.47,11.57,11.62,11.63,11.64,11.66,11.75
Kota Jakarta Timur,11.18,11.21,11.32,11.52,11.6,11.64,11.65,11.66,11.67,11.73,11.88
Kota Jakarta Pusat,10.85,10.87,10.88,11.01,11.02,11.24,11.25,11.38,11.39,11.53,11.54
Kota Jakarta Barat,10.04,10.13,10.15,10.36,10.37,10.38,10.4,10.63,10.78,11.13,11.23
Kota Jakarta Utara,9.85,9.85,10.05,10.23,10.6,10.69,10.7,10.8,10.81,10.82,10.84
Bogor,7.4,7.74,7.75,7.83,7.84,7.88,8.29,8.3,8.31,8.34,8.37
Sukabumi,6.32,6.36,6.51,6.74,6.79,6.8,7.02,7.07,7.1,7.11,7.33
Cianjur,6.5,6.52,6.54,6.61,6.92,6.93,6.97,7.18,7.19,7.2,7.22
Bandung,8.18,8.34,8.41,8.5,8.51,8.58,8.79,8.96,9.07,9.08,9.1
Garut,6.8,6.83,6.84,6.88,7.28,7.5,7.51,7.52,7.53,7.83,7.84
Tasikmalaya,6.69,6.87,6.88,6.94,7.12,7.13,7.17,7.35,7.48,7.73,7.96
Ciamis,7.2,7.44,7.45,7.55,7.59,7.6,7.69,7.7,7.9,8,8.09
Kuningan,6.98,7.04,7.2,7.34,7.35,7.36,7.38,7.57,7.8,7.88,7.89
Cirebon,6.08,6.31,6.32,6.41,6.61,6.62,6.71,6.92,7.1,7.4,7.64
Majalengka,6.72,6.75,6.8,6.89,6.9,6.91,7.09,7.27,7.31,7.49,7.52
Sumedang,7.51,7.66,7.66,7.72,7.98,8.17,8.27,8.51,8.52,8.72,8.73
Indramayu,5.29,5.45,5.46,5.56,5.97,5.98,5.99,6.3,6.52,6.83,6.94
Subang,6.29,6.44,6.45,6.58,6.83,6.84,6.85,7.1,7.11,7.2,7.45
Purwakarta,7.11,7.17,7.35,7.42,7.74,7.75,7.92,8.09,8.1,8.11,8.13
Karawang,6.73,6.78,6.81,6.94,7.34,7.35,7.65,7.77,7.78,7.96,8.04
Bekasi,8.34,8.38,8.66,8.81,8.82,8.84,8.84,9.12,9.3,9.53,9.57
Bandung Barat,7.39,7.51,7.53,7.63,7.74,7.97,8.18,8.19,8.2,8.22,8.23
Pangandaran,7.01,7.05,7.06,7.07,7.37,7.58,7.67,7.74,7.85,8.03,8.04
Kota Bogor,9.96,10.01,10.2,10.28,10.29,10.3,10.32,10.33,10.53,10.63,10.64
Kota Sukabumi,8.52,8.7,9.08,9.28,9.52,9.53,9.58,9.59,9.81,10.14,10.37
Kota Bandung,10.37,10.51,10.52,10.58,10.59,10.63,10.74,10.75,10.99,11,11.06
Kota Cirebon,9.33,9.53,9.76,9.87,9.88,9.89,9.9,9.91,10.12,10.33,10.37
Kota Bekasi,10.49,10.55,10.71,10.78,10.93,11.09,11.1,11.16,11.31,11.44,11.66
Kota Depok,10.43,10.58,10.71,10.76,10.84,10.85,11,11.28,11.46,11.47,11.58
Kota Cimahi,10.66,10.78,10.78,10.89,10.93,10.94,10.95,10.96,11.08,11.21,11.39
Kota Tasikmalaya,8.44,8.51,8.56,8.63,9.03,9.04,9.13,9.33,9.52,9.53,9.54
Kota Banjar,7.66,7.77,8.06,8.19,8.59,8.6,8.62,8.63,8.77,8.78,8.79
Cilacap,6.43,6.48,6.58,6.9,6.91,6.92,6.93,6.97,7.09,7.18,7.39
Banyumas,7.18,7.31,7.31,7.39,7.4,7.41,7.42,7.52,7.63,7.78,7.87
Purbalingga,6.68,6.84,6.85,6.86,6.87,7,7.14,7.24,7.25,7.33,7.34
Banjarnegara,5.86,5.9,6.17,6.26,6.27,6.28,6.5,6.74,6.75,6.84,6.86
Kebumen,6.39,6.75,7.04,7.05,7.29,7.34,7.53,7.54,7.55,7.85,7.86
Purworejo,7.57,7.63,7.65,7.66,7.69,7.7,7.91,8.12,8.21,8.32,8.46
Wonosobo,5.92,6.07,6.11,6.12,6.51,6.75,6.76,6.81,6.82,6.88,6.89
Magelang,6.88,7.02,7.19,7.4,7.41,7.57,7.77,7.78,7.79,7.81,7.82
Boyolali,6.61,6.69,7.1,7.17,7.44,7.55,7.56,7.84,7.85,8.08,8.09
Klaten,7.74,7.92,8.16,8.22,8.23,8.24,8.31,8.58,8.81,9.09,9.27
